"lambda","borne_a","pp_age_class","time_t","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","mean_n_patients","mean_n_at_risk","sd_n_at_risk","med_n_at_risk","iqr_n_at_risk","mean_cum_cancer","sd_cum_cancer","med_cum_cancer","iqr_cum_cancer","mean_cum_other","sd_cum_other","med_cum_other","iqr_cum_other","mean_cum_total_deaths","sd_cum_total_deaths","med_cum_total_deaths","iqr_cum_total_deaths","mean_cum_censored","sd_cum_censored","med_cum_censored","iqr_cum_censored","se_calibration_ratio"
0.002,Inf,">=65",7,0.654867521597158,0.0393707700141118,14.63,356.819,0.0241636820745789,0.0241636820745789,0.035425672934132,0.0259172227409106,0.0259184594058509,0.0267664364581518,0.843,1076.268,704.819,21.3178021307941,704,28,14.63,3.81781032473795,14,5,356.819,16.5016527518774,356.5,22,371.449,16.8807096224465,371,22,0,0,0,0,1.03271710864534
0.002,Inf,"Overall",1,0.7727185,0.0548195929003057,24.927,429.636,0.00150884241557201,0.00150884241557201,0.00439181537464596,0.00412582133952711,0.00412655610833813,0.00409136345130728,0.914,2000,1937.044,7.79299652218547,1937,10,3.997,2.08406677780112,4,2.25,58.959,7.41648995976691,59,10,62.956,7.79299652218547,63,10,0,0,0,0,0.991471663996102
0.002,Inf,"Overall",4,0.7727185,0.0548195929003057,24.927,429.636,0.00696372030156097,0.00696372030156097,0.0117007665708104,0.00940564650797448,0.00940760548424356,0.0093746595020112,0.872,2000,1744.247,14.8460228814116,1745,20,15.261,4.01983059817675,15,6,240.492,14.3574396071191,241,20,255.753,14.8460228814116,255,20,0,0,0,0,0.996497941767696
0.002,Inf,"Overall",7,0.7727185,0.0548195929003057,24.927,429.636,0.0142286859230434,0.0142286859230434,0.0204097982543314,0.0146357692637426,0.014639627056939,0.0151390078164026,0.843,2000,1545.437,18.1075651293849,1545,24,24.927,5.12288150506284,25,7,429.636,17.6210671074713,430,23,454.563,18.1075651293849,455,24,0,0,0,0,1.03411157658056
0.003,Inf,"<65",1,0.904910597320918,0.173786188392007,15.269,72.582,0.000277649860106921,0.000277649860106921,0.00360435949769689,0.00359542387732256,0.00359544784262119,0.00356322108815007,0.917,923.732,912.715,22.1596666451873,913,29.25,2.28,1.53751876865421,2,2,8.737,2.92889218125376,9,4,11.017,3.32411804254313,11,4,0,0,0,0,0.991036789884948
0.003,Inf,"<65",4,0.904910597320918,0.173786188392007,15.269,72.582,0.00121274957746513,0.00121274957746513,0.00750622782595082,0.00741195191147289,0.00741131717440943,0.00753001662685466,0.944,923.732,876.866,21.9312339603366,877,29.25,9.035,3.07558681136368,9,4,37.831,6.00253858542113,37,8,46.866,6.72750349708592,47,9,0,0,0,0,1.01601597255277
0.003,Inf,"<65",7,0.904910597320918,0.173786188392007,15.269,72.582,0.00250713576332734,0.00250713576332734,0.0111133334379824,0.0108328793504428,0.0108322568357743,0.0105240935284495,0.927,923.732,835.881,21.7415623756559,835,29,15.269,3.93498705501341,15,6,72.582,8.60426111350122,72,12,87.851,9.55521329438025,88,12,0,0,0,0,0.971551329330835
0.003,Inf,">=65",1,0.649515667042942,0.0582063501270759,21.958,355.252,0.00253233542633181,0.00253233542633181,0.00752403221788596,0.00708843598816346,0.00708862375154881,0.00706740026635747,0.914,1076.268,1022.357,22.794234537008,1022,29.25,3.724,1.90090437356471,4,3,50.187,6.87148079006616,50,9,53.911,7.20423347622632,54,9,0,0,0,0,0.997005979448873
0.003,Inf,">=65",4,0.649515667042942,0.0582063501270759,21.958,355.252,0.0117678085444244,0.0117678085444244,0.0201482310261918,0.0163610932504535,0.0163626902794055,0.0163615798269913,0.87,1076.268,860.484,22.2361910450552,861,31,13.716,3.60754187201734,13,5,202.068,13.1997579375385,202,19,215.784,13.7605485608931,216,19,0,0,0,0,0.999932135095438
0.003,Inf,">=65",7,0.649515667042942,0.0582063501270759,21.958,355.252,0.023773449791124,0.023773449791124,0.0351188685394404,0.0258592424648054,0.0258616867075364,0.0267950032987552,0.846,1076.268,699.058,21.1402825796522,698,28,21.958,4.70833350607244,22,6,355.252,16.4812052388812,355,22,377.21,16.8779372188892,377,22,0,0,0,0,1.03608877494239
0.003,Inf,"Overall",1,0.7674695,0.0800337250537632,37.227,427.834,0.00150373933037177,0.00150373933037177,0.00445684374668589,0.00419647604074107,0.00419759979663604,0.00415128626907707,0.909,2000,1935.072,7.93257472336326,1935,10,6.004,2.50963787871523,6,4,58.924,7.40696206869504,59,10,64.928,7.93257472336326,65,10,0,0,0,0,0.988966664331344
0.003,Inf,"Overall",4,0.7674695,0.0800337250537632,37.227,427.834,0.00694565533410831,0.00694565533410831,0.0118158016675389,0.00956106506950169,0.00956360306212663,0.00946222257158459,0.867,2000,1737.35,15.1621037257166,1737,20,22.751,4.80729748498146,23,6,239.899,14.3295546035156,240,19,262.65,15.1621037257166,263,20,0,0,0,0,0.989399341452855
0.003,Inf,"Overall",7,0.7674695,0.0800337250537632,37.227,427.834,0.0140623690735758,0.0140623690735758,0.020341824037612,0.0147002518229183,0.0147056396342614,0.0151975162027135,0.839,2000,1534.939,18.2584953282479,1535,24,37.227,6.17832037390767,37,8,427.834,17.643007672155,428,23,465.061,18.2584953282479,465,24,0,0,0,0,1.03344815871226
0.004,Inf,"<65",1,0.899665172918582,0.219583173630889,20.354,72.341,0.000243946346275877,0.000243946346275877,0.0037108276354115,0.00370466758908185,0.00370465334090095,0.00368953408545778,0.924,923.732,911.93,22.1572571417142,912,30,3.068,1.78172684510015,3,2,8.734,2.92639843627074,9,4,11.802,3.42644663412938,12,5,0,0,0,0,0.995918847446197
0.004,Inf,"<65",4,0.899665172918582,0.219583173630889,20.354,72.341,0.00127810560528571,0.00127810560528571,0.00769960600726987,0.00759703313755603,0.00759658389118025,0.00774233172440313,0.94,923.732,874.03,21.8118512936627,874,29,11.941,3.46143041248853,12,5,37.761,5.97893189680453,37,8,49.702,6.91643210282824,50,9.25,0,0,0,0,1.01918597034018
0.004,Inf,"<65",7,0.899665172918582,0.219583173630889,20.354,72.341,0.00246202698083663,0.00246202698083663,0.0114038325132726,0.0111421623945323,0.0111404635929332,0.0107783133167107,0.928,923.732,831.037,21.8005709993086,831,29.25,20.354,4.44031534920668,20,6,72.341,8.57357715456187,72,12,92.695,9.83365017049497,92,12,0,0,0,0,0.967492351354909
0.004,Inf,">=65",1,0.64426495579776,0.0762216879682772,29.187,353.673,0.00249533199388203,0.00249533199388203,0.00755919158119662,0.00713872466782362,0.00713902383122548,0.00714293266631325,0.915,1076.268,1021.112,22.806393568199,1021,30,5.006,2.16532968682662,5,2,50.15,6.86444612628147,50,9,55.156,7.25053337584444,55,10,0,0,0,0,1.00054753075213
0.004,Inf,">=65",4,0.64426495579776,0.0762216879682772,29.187,353.673,0.0117052704537383,0.0117052704537383,0.0201506492967721,0.0164080768791424,0.0164105032007445,0.0164553365316301,0.868,1076.268,856.462,22.2002569221036,857,30,18.236,4.31473300691027,18,6,201.57,13.1839643854539,202,18,219.806,13.8107603375448,220,20,0,0,0,0,1.00273199001501
0.004,Inf,">=65",7,0.64426495579776,0.0762216879682772,29.187,353.673,0.0234986978134098,0.0234986978134098,0.0349592394574755,0.0258932227759485,0.0258965297824619,0.0268191678040269,0.849,1076.268,693.408,21.1261413857299,693,28,29.187,5.48818286422302,29,8,353.673,16.4033271058081,353,22,382.86,16.9422383243608,382,23,0,0,0,0,1.03562786324328
0.004,Inf,"Overall",1,0.7622225,0.104150355872888,49.541,426.014,0.00146766019521933,0.00146766019521933,0.00447019138075525,0.00422306915979765,0.00422450363509256,0.0042120427872744,0.919,2000,1933.042,7.98824436581957,1933,10,8.074,2.87346146324964,8,4,58.884,7.40252263362574,59,10,66.958,7.98824436581957,67,10,0,0,0,0,0.997050340372618
0.004,Inf,"Overall",4,0.7622225,0.104150355872888,49.541,426.014,0.0069375509289823,0.0069375509289823,0.0118457354378778,0.00960248345842443,0.00960646237130311,0.00954767346163407,0.868,2000,1730.492,15.2216830749965,1731,20,30.177,5.56404795357028,30,7,239.331,14.31371095563,239,19,269.508,15.2216830749965,269,20,0,0,0,0,0.993880274819516
