"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","pp_age_class","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","mean_n_at_risk","sd_n_at_risk","med_n_at_risk","iqr_n_at_risk","mean_n_at_risk_u65","sd_n_at_risk_u65","med_n_at_risk_u65","iqr_n_at_risk_u65","mean_n_at_risk_65_85","sd_n_at_risk_65_85","med_n_at_risk_65_85","iqr_n_at_risk_65_85","mean_n_at_risk_o85","sd_n_at_risk_o85","med_n_at_risk_o85","iqr_n_at_risk_o85","mean_cum_cancer","sd_cum_cancer","med_cum_cancer","iqr_cum_cancer","mean_cum_censored","sd_cum_censored","med_cum_censored","iqr_cum_censored","mean_cum_other","sd_cum_other","med_cum_other","iqr_cum_other","se_calibration_ratio"
0.005,Inf,0.7571015,0.126713272476701,61.578,424.219,4,"<65",0.00133757947354528,0.00133757947354528,0.00800751370298337,0.0078993794162327,0.00789895881783305,0.00794686314714618,0.944,1723.57,15.3573092352452,1723,21,871.205,21.9004704425637,871,30,835.981,22.0569069940948,836,30.25,16.384,4.08794022158535,16,5,37.692,6.24084001429968,37,9,0,0,0,0,238.738,14.2953038341867,239,19,1.00606463844386
0.005,Inf,0.7571015,0.126713272476701,61.578,424.219,7,"<65",0.00262912387531041,0.00262912387531041,0.0117806193639616,0.0114898042833927,0.0114892429232639,0.0110129900103794,0.924,1514.203,18.7736581741876,1514,25.25,826.405,21.8153359791658,826,29.25,680.481,21.1611302257803,680.5,28,7.317,2.73349281743761,7,4,61.578,8.07843903097481,61,11,0,0,0,0,424.219,17.5165598468669,424,23,0.958547929044116
0.005,Inf,0.7571015,0.126713272476701,61.578,424.219,1,">=65",0.00247013593747349,0.00247013593747349,0.0075698081001478,0.00715872966981451,0.00715902750366721,0.00721665720656641,0.926,1931.021,8.07575239694586,1931,10,911.146,22.1237461598199,911,30,988.253,22.4538006618961,989,29,31.622,5.71242048064984,31,7,10.131,3.25521664953893,10,4,0,0,0,0,58.848,7.40700747669123,59,10,1.00804993455741
0.005,Inf,0.7571015,0.126713272476701,61.578,424.219,4,">=65",0.0115081051267205,0.0115081051267205,0.0200680555488974,0.0164449823301724,0.0164487364510719,0.01654987340101,0.882,1723.57,15.3573092352452,1723,21,871.205,21.9004704425637,871,30,835.981,22.0569069940948,836,30.25,16.384,4.08794022158535,16,5,37.692,6.24084001429968,37,9,0,0,0,0,238.738,14.2953038341867,239,19,1.00614861513764
0.005,Inf,0.7571015,0.126713272476701,61.578,424.219,7,">=65",0.0232415798084275,0.0232415798084275,0.0348355750973026,0.0259586017081417,0.0259619005592609,0.0268387685838711,0.854,1514.203,18.7736581741876,1514,25.25,826.405,21.8153359791658,826,29.25,680.481,21.1611302257803,680.5,28,7.317,2.73349281743761,7,4,61.578,8.07843903097481,61,11,0,0,0,0,424.219,17.5165598468669,424,23,1.03377518616592
0.007,Inf,0.747003,0.168602900293761,85.334,420.66,1,"<65",0.000172147794095812,0.000172147794095812,0.00412202473229694,0.00412021187744197,0.004120489226065,0.00403749651315808,0.931,1927.117,8.29542796515798,1927,11,909.604,22.0615932765043,910,30,985.993,22.3780635607447,987,29,31.52,5.69807582154433,31,7,14.115,3.8546898232716,14,6,0,0,0,0,58.768,7.40168635926712,58,10,0.979858529326584
0.007,Inf,0.747003,0.168602900293761,85.334,420.66,4,"<65",0.00125881588899318,0.00125881588899318,0.00845817609332307,0.00837028540095558,0.00836816297252957,0.00834699145569589,0.942,1709.756,15.9279679860353,1709,22,865.406,21.9553000252604,865,30,828.176,22.011713689296,829,30,16.174,4.06992485044728,16,6,52.678,7.45680359939297,52,9,0,0,0,0,237.566,14.2918123378353,238,19.25,0.99746999229064
0.007,Inf,0.747003,0.168602900293761,85.334,420.66,7,"<65",0.00287736435969369,0.00287736435969369,0.0121569169361893,0.0118173108336952,0.0118174047400333,0.0114597714716463,0.92,1494.006,19.0383934307605,1494,25,817.151,21.8170158633389,816,29,669.686,21.080222479371,670,28,7.169,2.70032048667019,7,4,85.334,9.32906616309883,85,12,0,0,0,0,420.66,17.4294057323876,421,24,0.969736733550692
0.007,Inf,0.747003,0.168602900293761,85.334,420.66,1,">=65",0.00251935810080903,0.00251935810080903,0.00769656290664965,0.00727592005730646,0.00727618431556659,0.00735494721106912,0.929,1927.117,8.29542796515798,1927,11,909.604,22.0615932765043,910,30,985.993,22.3780635607447,987,29,31.52,5.69807582154433,31,7,14.115,3.8546898232716,14,6,0,0,0,0,58.768,7.40168635926712,58,10,1.01082475265697
0.007,Inf,0.747003,0.168602900293761,85.334,420.66,4,">=65",0.0112939884751331,0.0112939884751331,0.0202415870667258,0.016800388717771,0.016806252450348,0.0167281165608745,0.889,1709.756,15.9279679860353,1709,22,865.406,21.9553000252604,865,30,828.176,22.011713689296,829,30,16.174,4.06992485044728,16,6,52.678,7.45680359939297,52,9,0,0,0,0,237.566,14.2918123378353,238,19.25,0.995350784494976
0.007,Inf,0.747003,0.168602900293761,85.334,420.66,7,">=65",0.0229000916012601,0.0229000916012601,0.034768076234103,0.0261699455283285,0.0261742243379624,0.0268829603259834,0.858,1494.006,19.0383934307605,1494,25,817.151,21.8170158633389,816,29,669.686,21.080222479371,670,28,7.169,2.70032048667019,7,4,85.334,9.32906616309883,85,12,0,0,0,0,420.66,17.4294057323876,421,24,1.02707763098802
0.01,Inf,0.732069,0.224797515864769,120.474,415.388,1,"<65",0.00016239992598191,0.00016239992598191,0.00440566736192662,0.00440422455868129,0.00440487617329802,0.00434910366732871,0.932,1921.209,8.5925054640745,1921,12,907.344,22.0556595030871,908,29,982.512,22.3386855672592,983,29,31.353,5.67702559617443,31,7.25,20.122,4.54992503430747,20,6,0,0,0,0,58.669,7.38213620403572,58,9,0.987338462246137
0.01,Inf,0.732069,0.224797515864769,120.474,415.388,4,"<65",0.00147999578705054,0.00147999578705054,0.00914558869877583,0.00902943780081595,0.00902955912852584,0.00888073130918066,0.935,1689.722,16.4027365328401,1690,22,857.082,21.9417573753042,856,31,816.755,21.9750740357997,817,31,15.885,4.02616256315924,16,5.25,74.519,8.80915661344718,74,11,0,0,0,0,235.759,14.219251249841,236,18.25,0.983517709200773
0.01,Inf,0.732069,0.224797515864769,120.474,415.388,7,"<65",0.00295999922841189,0.00295999922841189,0.0128152645113353,0.012473823814393,0.0124749763165061,0.0120797527088688,0.926,1464.138,19.3006598714,1464,25,803.234,21.6786348095817,803,29,653.954,21.0303628157044,654,28,6.95,2.66807395298905,7,4,120.474,10.8937595896916,120,14,0,0,0,0,415.388,17.5338784327054,416,24,0.968318688740564
0.01,Inf,0.732069,0.224797515864769,120.474,415.388,1,">=65",0.00247303282499127,0.00247303282499127,0.00783209342093157,0.00743456020124348,0.00743512455025422,0.00756295354322216,0.929,1921.209,8.5925054640745,1921,12,907.344,22.0556595030871,908,29,982.512,22.3386855672592,983,29,31.353,5.67702559617443,31,7.25,20.122,4.54992503430747,20,6,0,0,0,0,58.669,7.38213620403572,58,9,1.01719258259952
0.01,Inf,0.732069,0.224797515864769,120.474,415.388,4,">=65",0.0112125815600236,0.0112125815600236,0.0203524757888486,0.0169867821432248,0.0169938246304667,0.0169738124449642,0.88,1689.722,16.4027365328401,1690,22,857.082,21.9417573753042,856,31,816.755,21.9750740357997,817,31,15.885,4.02616256315924,16,5.25,74.519,8.80915661344718,74,11,0,0,0,0,235.759,14.219251249841,236,18.25,0.998822384840514
