"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","se_calibration_ratio"
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,11.5,0.0307899287010872,0.0307899287010872,0.0495340905156662,0.0388166930954249,0.0388215600835863,0.0334362817216538,0.824,0.861281248091588
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,12,0.0350115120429923,0.0350115120429923,0.0565717432600931,0.0444548924842738,0.0444582128817829,0.0375440728428603,0.829,0.844480027631615
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,12.5,0.035784723159594,0.035784723159594,0.0627916754640998,0.051619778709678,0.0516227954395056,0.0421245207719229,0.845,0.816006192870486
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,13,0.0402399997956982,0.0402399997956982,0.0744194111297736,0.062627783661922,0.062633170791745,0.046935066962322,0.849,0.74936437624052
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,1,0.00146766019521933,0.00146766019521933,0.00447019138075525,0.00422306915979765,0.00422450363509256,0.0042120427872744,0.919,0.997050340372618
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,4,0.0069375509289823,0.0069375509289823,0.0118457354378778,0.00960248345842443,0.00960646237130311,0.00954767346163407,0.868,0.993880274819516
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,7,0.0138886289951893,0.0138886289951893,0.0202603043277587,0.0147507786150536,0.0147581746773506,0.0152525222074342,0.848,1.03349652249626
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,7.5,0.0143722624360132,0.0143722624360132,0.0212440716355999,0.0156440709218184,0.0156522728628988,0.0164842102148357,0.863,1.05315121702925
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,8,0.0167689590579108,0.0167689590579108,0.0239220269212015,0.0170606051905406,0.017069175166764,0.017763755734067,0.836,1.0406920990919
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,8.5,0.0175519887266354,0.0175519887266354,0.0258401833157936,0.0189669316586454,0.018973738912038,0.0192214307396791,0.842,1.01305445536008
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,9,0.0201173659402283,0.0201173659402283,0.0291291810508338,0.0210722441739932,0.0210771208029119,0.0208457597417625,0.824,0.98902311832281
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,9.5,0.0209364708890052,0.0209364708890052,0.0311429602064185,0.0230581729049382,0.0230668644893442,0.022732176759425,0.833,0.985490540767955
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,10,0.0244633685496324,0.0244633685496324,0.0356278324213479,0.0259061088664647,0.0259144284106047,0.0246958387748372,0.809,0.952976403088681
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,10.5,0.025711910542855,0.025711910542855,0.0392566885592258,0.0296681882440786,0.0296793887907293,0.0271249526799701,0.807,0.913932320885359
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,11,0.0296206510119458,0.0296206510119458,0.0447267670265607,0.0335221896100148,0.0335294638672313,0.0300016640726796,0.801,0.894785081905247
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,11.5,0.0303833838335526,0.0303833838335526,0.0489374388272451,0.0383761263593781,0.0383822368016152,0.0332863283672451,0.833,0.867232635223706
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,12,0.0342806476683472,0.0342806476683472,0.0553670517742965,0.0434951011200957,0.0434998834190822,0.0373547021505848,0.827,0.858731086488344
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,12.5,0.0351500711881562,0.0351500711881562,0.0617987166328861,0.0508512631093499,0.0508541051730562,0.0418037265314777,0.847,0.822032486644292
0.004,Inf,0.5548775,0.0888722417630391,79.119,811.126,13,0.0398627698990875,0.0398627698990875,0.0738743502650676,0.0622223332807743,0.0622274172251493,0.0464265788875006,0.849,0.746079155423105
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,1,0.00143690841120888,0.00143690841120888,0.00449251702381157,0.00425702426932424,0.00425865466627673,0.00427137210759627,0.922,1.00298625794203
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,4,0.00685585581226979,0.00685585581226979,0.0118470880445022,0.00966185233360275,0.00966665300897628,0.00963292864049088,0.865,0.996511267296541
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,7,0.0138212384878107,0.0138212384878107,0.0203348586498966,0.0149145220850821,0.014923221687017,0.0153041475949125,0.845,1.02552571528351
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,7.5,0.0143077798876218,0.0143077798876218,0.0212653068252029,0.0157299430937206,0.0157400272399669,0.0165215139481989,0.86,1.04964964140899
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,8,0.0167049558413696,0.0167049558413696,0.0238910522545438,0.0170771305013968,0.017088558950779,0.0177946066136518,0.842,1.04131698084704
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,8.5,0.0174476979860357,0.0174476979860357,0.0257034234080412,0.0188747188515236,0.0188838664020749,0.0192493432837775,0.842,1.01935392222762
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,9,0.0199863061878585,0.0199863061878585,0.0289403220095669,0.0209364254984093,0.0209410680557107,0.0208447519689002,0.821,0.995400612492436
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,9.5,0.0207849870208956,0.0207849870208956,0.0309398768599475,0.0229212565629739,0.0229300257464017,0.0227141792115189,0.837,0.990586729501745
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,10,0.0243790730898959,0.0243790730898959,0.035564242748678,0.0258974401763548,0.0259065108586485,0.02461785922483,0.807,0.950257615128115
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,10.5,0.0256487395168525,0.0256487395168525,0.0391402525392975,0.0295676672882527,0.0295800018009326,0.0270064396211204,0.802,0.912996550942365
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,11,0.0296418516921938,0.0296418516921938,0.044567903570976,0.0332893969738689,0.0332981594745744,0.0298480270756929,0.81,0.896386693639449
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,11.5,0.0303550902028052,0.0303550902028052,0.0486300144521156,0.0380038131103862,0.0380117310325198,0.0331114156349345,0.83,0.871084129439068
